claim,worker,assessment_checkworthy,assessment_general_public,assessment_group_harm,assessment_group_harm_specify,assessment_truth
Beef comes from cows.,public.us-east-1.A12KQGDA5YYCW7,4,3,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Beef comes from cows.,public.us-east-1.A2ATPVV665TR66,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Beef comes from cows.,public.us-east-1.A2D9CD4ELPYVUA,4,4,5,GENDER: Men; GENDER: Women; SEXUAL ORIENTATION: LGBTQ,5
Beef comes from cows.,public.us-east-1.A2C66BD4D2GOEZ,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Earth's inner core is responsible for recent climate change trends,public.us-east-1.A3GFL1OXQNL2LB,4,3,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Earth's inner core is responsible for recent climate change trends,public.us-east-1.ABDWWV9GFHVQ5,5,5,1,NONE,4
Earth's inner core is responsible for recent climate change trends,public.us-east-1.A2VTNO389Z7GZZ,4,4,3,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Earth's inner core is responsible for recent climate change trends,public.us-east-1.A6MCR5VWBFWZT,6,3,4,GENDER: Men; RACE: White,5
Earth's inner core is responsible for recent climate change trends,public.us-east-1.A28LVKN22K756,4,4,4,GENDER: Women; RACE: East or South Asian; SEXUAL ORIENTATION: LGBTQ,2
Earth's inner core is responsible for recent climate change trends,public.us-east-1.A1K7FKUQ1EHVAZ,4,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Earth's inner core is responsible for recent climate change trends,public.us-east-1.A14NGT8WVKVENT,5,4,6,RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Earth's inner core is responsible for recent climate change trends,public.us-east-1.A245B3Q3BILZCL,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Earth's inner core is responsible for recent climate change trends,public.us-east-1.A3A189KXWG4FCC,5,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Joe Biden has four eyes on the top of his head.,public.us-east-1.ABDWWV9GFHVQ5,2,2,1,NONE,6
Joe Biden has four eyes on the top of his head.,public.us-east-1.A2U51LCR27DEAA,4,5,3,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Joe Biden has four eyes on the top of his head.,public.us-east-1.A6MCR5VWBFWZT,6,4,5,GENDER: Men; RACE: White,5
Joe Biden has four eyes on the top of his head.,public.us-east-1.A135P8F6U7GTED,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Joe Biden has four eyes on the top of his head.,public.us-east-1.A14NGT8WVKVENT,5,4,6,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Joe Biden has four eyes on the top of his head.,public.us-east-1.A1NN61ZAXV9FR0,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Joe Biden has four eyes on the top of his head.,public.us-east-1.A3AAJIOULPV12E,4,5,5,RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Joe Biden has four eyes on the top of his head.,public.us-east-1.A2ATPVV665TR66,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Joe Biden has four eyes on the top of his head.,public.us-east-1.A2VTNO389Z7GZZ,3,1,2,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Ice melts when heated.,public.us-east-1.A3N3XW7KMFJC9C,3,3,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Ice melts when heated.,public.us-east-1.A3GE6PFS8JGEW2,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Ice melts when heated.,public.us-east-1.A2D9CD4ELPYVUA,4,3,4,GENDER: Women; SEXUAL ORIENTATION: LGBTQ,5
Ice melts when heated.,public.us-east-1.A12KQGDA5YYCW7,3,4,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Ice melts when heated.,public.us-east-1.A2BL85FF81CS3,6,6,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Ice melts when heated.,public.us-east-1.A2D8U77XWH40I4,5,3,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Ice melts when heated.,public.us-east-1.A2ATPVV665TR66,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Ice melts when heated.,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Ice melts when heated.,public.us-east-1.A34ZAOC90XFXLR,5,4,4,NONE,2
"If you wear a hat made out of aluminum foil, you can communicate telepathically with dolphins.",public.us-east-1.A1V5E8U7EGX5KZ,4,4,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: LGBTQ,5
"If you wear a hat made out of aluminum foil, you can communicate telepathically with dolphins.",public.us-east-1.A3GE6PFS8JGEW2,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"If you wear a hat made out of aluminum foil, you can communicate telepathically with dolphins.",public.us-east-1.A1PZNXUXSW2MH0,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
"If you wear a hat made out of aluminum foil, you can communicate telepathically with dolphins.",public.us-east-1.A3QGZ31LEUFJV1,4,4,4,NONE,3
"If you wear a hat made out of aluminum foil, you can communicate telepathically with dolphins.",public.us-east-1.A10X6FEDISRRB1,5,5,5,RACE: White; SEXUAL ORIENTATION: Heterosexual; SEXUAL ORIENTATION: LGBTQ,2
"If you wear a hat made out of aluminum foil, you can communicate telepathically with dolphins.",public.us-east-1.A12KQGDA5YYCW7,3,3,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"If you wear a hat made out of aluminum foil, you can communicate telepathically with dolphins.",public.us-east-1.A2BL85FF81CS3,6,6,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"If you wear a hat made out of aluminum foil, you can communicate telepathically with dolphins.",public.us-east-1.A2ATPVV665TR66,6,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"If you wear a hat made out of aluminum foil, you can communicate telepathically with dolphins.",public.us-east-1.ABDWWV9GFHVQ5,3,3,1,NONE,6
Apples are a type of fruit.,public.us-east-1.A10X6FEDISRRB1,5,5,6,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Apples are a type of fruit.,public.us-east-1.A2ATPVV665TR66,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Apples are a type of fruit.,public.us-east-1.A12KQGDA5YYCW7,2,3,4,GENDER: Men; RACE: White,4
Apples are a type of fruit.,public.us-east-1.A3JGB3OMTOWR6I,5,3,3,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Apples are a type of fruit.,public.us-east-1.A3U5FZX51JBFQW,5,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
Apples are a type of fruit.,public.us-east-1.A1K7FKUQ1EHVAZ,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Apples are a type of fruit.,public.us-east-1.ABDWWV9GFHVQ5,2,1,1,NONE,1
Apples are a type of fruit.,public.us-east-1.A3GFL1OXQNL2LB,5,4,3,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Apples are a type of fruit.,public.us-east-1.A30E6TB3PNFRI3,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
The character of James Bond has been portrayed by ten different actors over the course of the film franchise's 60-year history.,public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
The character of James Bond has been portrayed by ten different actors over the course of the film franchise's 60-year history.,public.us-east-1.A3U5FZX51JBFQW,4,4,3,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
The character of James Bond has been portrayed by ten different actors over the course of the film franchise's 60-year history.,public.us-east-1.A12KQGDA5YYCW7,4,4,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
The character of James Bond has been portrayed by ten different actors over the course of the film franchise's 60-year history.,public.us-east-1.A19BG3DNCB8371,4,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
The character of James Bond has been portrayed by ten different actors over the course of the film franchise's 60-year history.,public.us-east-1.A2C8IESKZ6MSNF,4,4,5,NONE,5
The character of James Bond has been portrayed by ten different actors over the course of the film franchise's 60-year history.,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
The character of James Bond has been portrayed by ten different actors over the course of the film franchise's 60-year history.,public.us-east-1.A3A189KXWG4FCC,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
The character of James Bond has been portrayed by ten different actors over the course of the film franchise's 60-year history.,public.us-east-1.A2ATPVV665TR66,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
The character of James Bond has been portrayed by ten different actors over the course of the film franchise's 60-year history.,public.us-east-1.A1K7FKUQ1EHVAZ,4,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"Kelly Clarkson, the first American Idol winner, is the ninth best-selling music artist of all time.",public.us-east-1.A135P8F6U7GTED,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"Kelly Clarkson, the first American Idol winner, is the ninth best-selling music artist of all time.",public.us-east-1.AGYT38VVSA48K,5,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"Kelly Clarkson, the first American Idol winner, is the ninth best-selling music artist of all time.",public.us-east-1.A1PZNXUXSW2MH0,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
"Kelly Clarkson, the first American Idol winner, is the ninth best-selling music artist of all time.",public.us-east-1.A28LVKN22K756,5,5,5,GENDER: Women; RACE: East or South Asian; SEXUAL ORIENTATION: LGBTQ,4
"Kelly Clarkson, the first American Idol winner, is the ninth best-selling music artist of all time.",public.us-east-1.A12KQGDA5YYCW7,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"Kelly Clarkson, the first American Idol winner, is the ninth best-selling music artist of all time.",public.us-east-1.A3A189KXWG4FCC,5,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"Kelly Clarkson, the first American Idol winner, is the ninth best-selling music artist of all time.",public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"Kelly Clarkson, the first American Idol winner, is the ninth best-selling music artist of all time.",public.us-east-1.A2D9CD4ELPYVUA,4,4,5,GENDER: Women; SEXUAL ORIENTATION: LGBTQ,5
"Kelly Clarkson, the first American Idol winner, is the ninth best-selling music artist of all time.",public.us-east-1.A2C66BD4D2GOEZ,5,5,5,RACE: White; SEXUAL ORIENTATION: Heterosexual,6
“Illegal immigrants” are kept in hotels and are fed and clothed as well as receiving benefits.,public.us-east-1.AUVBBPEQIRHK3,5,3,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
“Illegal immigrants” are kept in hotels and are fed and clothed as well as receiving benefits.,public.us-east-1.A2U51LCR27DEAA,4,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
“Illegal immigrants” are kept in hotels and are fed and clothed as well as receiving benefits.,public.us-east-1.A2VTNO389Z7GZZ,4,3,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
“Illegal immigrants” are kept in hotels and are fed and clothed as well as receiving benefits.,public.us-east-1.A6MCR5VWBFWZT,6,3,4,GENDER: Men; RACE: White,5
“Illegal immigrants” are kept in hotels and are fed and clothed as well as receiving benefits.,public.us-east-1.A135P8F6U7GTED,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
“Illegal immigrants” are kept in hotels and are fed and clothed as well as receiving benefits.,public.us-east-1.A1K7FKUQ1EHVAZ,4,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
“Illegal immigrants” are kept in hotels and are fed and clothed as well as receiving benefits.,public.us-east-1.A2BL85FF81CS3,5,6,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
“Illegal immigrants” are kept in hotels and are fed and clothed as well as receiving benefits.,public.us-east-1.A3ISXIUWYFY64O,5,5,5,RACE: White,5
“Illegal immigrants” are kept in hotels and are fed and clothed as well as receiving benefits.,public.us-east-1.A3A189KXWG4FCC,5,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",public.us-east-1.A2D8U77XWH40I4,5,5,3,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
"If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",public.us-east-1.A6MCR5VWBFWZT,4,4,4,GENDER: Men; RACE: White,3
"If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",public.us-east-1.A135P8F6U7GTED,5,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",public.us-east-1.A10X6FEDISRRB1,6,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",public.us-east-1.A1PZNXUXSW2MH0,5,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
"If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",public.us-east-1.A3A189KXWG4FCC,6,4,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",public.us-east-1.A2BL85FF81CS3,6,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
"If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",public.us-east-1.A12KQGDA5YYCW7,3,3,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",public.us-east-1.A3JGB3OMTOWR6I,6,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"The U.S. government shot down an ""aerial target drone"" over Alaska for PR purposes.",public.us-east-1.AAISLVE5U7EPM,4,3,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"The U.S. government shot down an ""aerial target drone"" over Alaska for PR purposes.",public.us-east-1.A12KQGDA5YYCW7,4,4,3,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"The U.S. government shot down an ""aerial target drone"" over Alaska for PR purposes.",public.us-east-1.A3ISXIUWYFY64O,3,5,5,RACE: White,4
"The U.S. government shot down an ""aerial target drone"" over Alaska for PR purposes.",public.us-east-1.A1MHUF6WJDR4A2,6,4,4,GENDER: Men; GENDER: Transgender / Non-binary; GENDER: Women,2
"The U.S. government shot down an ""aerial target drone"" over Alaska for PR purposes.",public.us-east-1.A6MCR5VWBFWZT,6,4,3,GENDER: Men; RACE: White,5
"The U.S. government shot down an ""aerial target drone"" over Alaska for PR purposes.",public.us-east-1.AGYT38VVSA48K,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"The U.S. government shot down an ""aerial target drone"" over Alaska for PR purposes.",public.us-east-1.A2VTNO389Z7GZZ,3,3,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
"The U.S. government shot down an ""aerial target drone"" over Alaska for PR purposes.",public.us-east-1.A2BL85FF81CS3,6,6,5,GENDER: Men; RACE: African American; SEXUAL ORIENTATION: Heterosexual,6
"The U.S. government shot down an ""aerial target drone"" over Alaska for PR purposes.",public.us-east-1.A1NN61ZAXV9FR0,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"In video testimony, U.S. Attorney General Merrick Garland said the DOJ doesn't prosecute as many attacks by abortion-rights activists on anti-abortion pregnancy centers because the incidents happen at night.",public.us-east-1.A1V5E8U7EGX5KZ,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: LGBTQ,4
"In video testimony, U.S. Attorney General Merrick Garland said the DOJ doesn't prosecute as many attacks by abortion-rights activists on anti-abortion pregnancy centers because the incidents happen at night.",public.us-east-1.A2BL85FF81CS3,5,6,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
"In video testimony, U.S. Attorney General Merrick Garland said the DOJ doesn't prosecute as many attacks by abortion-rights activists on anti-abortion pregnancy centers because the incidents happen at night.",public.us-east-1.A2BJMVJXFMT6R3,3,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
"In video testimony, U.S. Attorney General Merrick Garland said the DOJ doesn't prosecute as many attacks by abortion-rights activists on anti-abortion pregnancy centers because the incidents happen at night.",public.us-east-1.A28LVKN22K756,5,6,5,GENDER: Women,1
"In video testimony, U.S. Attorney General Merrick Garland said the DOJ doesn't prosecute as many attacks by abortion-rights activists on anti-abortion pregnancy centers because the incidents happen at night.",public.us-east-1.A3A189KXWG4FCC,5,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"In video testimony, U.S. Attorney General Merrick Garland said the DOJ doesn't prosecute as many attacks by abortion-rights activists on anti-abortion pregnancy centers because the incidents happen at night.",public.us-east-1.A2C66BD4D2GOEZ,5,6,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"In video testimony, U.S. Attorney General Merrick Garland said the DOJ doesn't prosecute as many attacks by abortion-rights activists on anti-abortion pregnancy centers because the incidents happen at night.",public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
