claim,worker,assessment_checkworthy,assessment_general_public,assessment_group_harm,assessment_group_harm_specify,assessment_truth
Earth's inner core is responsible for recent climate change trends,public.us-east-1.A3QGZ31LEUFJV1,5,4,4,NONE,2
Ice melts when heated.,public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Ice melts when heated.,public.us-east-1.A3QGZ31LEUFJV1,6,6,1,NONE,1
Ice melts when heated.,public.us-east-1.A12KQGDA5YYCW7,6,5,6,,5
All diseases can be spread through radio waves.,public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
All diseases can be spread through radio waves.,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
A 12-year-old girl who gets an abortion in Alabama is thrown in prison for life,public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
A 12-year-old girl who gets an abortion in Alabama is thrown in prison for life,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
A 12-year-old girl who gets an abortion in Alabama is thrown in prison for life,public.us-east-1.A12KQGDA5YYCW7,6,6,5,,5
The Great Wall of China was built entirely by one person,public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
The Great Wall of China was built entirely by one person,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Beef comes from cows.,public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Beef comes from cows.,public.us-east-1.A3QGZ31LEUFJV1,6,6,1,NONE,1
Water is a liquid at room temperature.,public.us-east-1.A10X6FEDISRRB1,5,5,5,RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Water is a liquid at room temperature.,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Water is a liquid at room temperature.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,,5
"Abortion cause permanent psychological and mental damage, including ‘post-abortion syndrome’.",public.us-east-1.A12KQGDA5YYCW7,6,6,5,,5
"Ten percent of the U.S. population lives in the Ohio River Basin, within which the East Palestine train derailment and chemical release occurred.",public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"A committee has proposed that the city of San Francisco give $5 million each to qualifying Black people as part of a reparations plan to cover “economic and opportunity losses” the community has endured throughout history, both due to the city’s policies and the wider effects of societal discrimination.",public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"A committee has proposed that the city of San Francisco give $5 million each to qualifying Black people as part of a reparations plan to cover “economic and opportunity losses” the community has endured throughout history, both due to the city’s policies and the wider effects of societal discrimination.",public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"A committee has proposed that the city of San Francisco give $5 million each to qualifying Black people as part of a reparations plan to cover “economic and opportunity losses” the community has endured throughout history, both due to the city’s policies and the wider effects of societal discrimination.",public.us-east-1.A12KQGDA5YYCW7,6,6,5,,5
"""Extreme MAGA Republicans want to ban books” on the Holocaust, Martin Luther King Jr., the LGBTQ journey, “Roberto Clemente and baseball"" and the Native American experience.",public.us-east-1.A3QGZ31LEUFJV1,5,5,3,NONE,3
"""Extreme MAGA Republicans want to ban books” on the Holocaust, Martin Luther King Jr., the LGBTQ journey, “Roberto Clemente and baseball"" and the Native American experience.",public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
The first-ever MTV Video Music Awards ceremony was held in 1984.,public.us-east-1.A12KQGDA5YYCW7,4,6,6,,5
"If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",public.us-east-1.A12KQGDA5YYCW7,6,6,5,,5
Diamonds are very expensive.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,,5
A video of U.S. President Joe Biden from 2015 shows him promoting an agenda to make “white Americans” of European descent an “absolute minority” in the U.S. through “nonstop” immigration of people of color.,public.us-east-1.A3QGZ31LEUFJV1,3,3,5,RACE: White,4
An hour contains 60 minutes.,public.us-east-1.A1EAJF4MKAGHJE,5,5,6,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
An hour contains 60 minutes.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,,5
"""4.2 million illegal aliens have crossed since Joe Biden became president""",public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Gerogia Politician Stacey Abrams Suggested Abortions Can Ease Inflation,public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Apples are a type of fruit.,public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
A day contains 24 hours.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,,5
“Illegal immigrants” are kept in hotels and are fed and clothed as well as receiving benefits.,public.us-east-1.A3QGZ31LEUFJV1,5,3,5,NONE,4
Qatar 'refused to receive' German soccer team's plane due to LGBTQ symbol,public.us-east-1.A12KQGDA5YYCW7,6,6,5,,5
Illegal Immigrants Can Be Police Officers In California,public.us-east-1.A3QGZ31LEUFJV1,3,2,2,NONE,5
Illegal Immigrants Can Be Police Officers In California,public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Illegal Immigrants Can Be Police Officers In California,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"Michele Flournoy, former United States defense undersecretary under the administration of former president Barack Obama, recently suggested sinking all Chinese military vessels within 72 hours to strengthen the US Army’s deterrence.",public.us-east-1.A3QGZ31LEUFJV1,4,3,4,NONE,5
"Michele Flournoy, former United States defense undersecretary under the administration of former president Barack Obama, recently suggested sinking all Chinese military vessels within 72 hours to strengthen the US Army’s deterrence.",public.us-east-1.A12KQGDA5YYCW7,6,6,5,,5
February was chosen as Black History month because it’s the shortest month,public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
February was chosen as Black History month because it’s the shortest month,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
A circle is round.,public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
A circle is round.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,,5
A 19-year-old girl in Texas has been sentenced to 96 years in prison after Police found out she traveled across state lines to get an abortion,public.us-east-1.A3QGZ31LEUFJV1,5,5,5,GENDER: Women,2
An almond is a type of nut.,public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
An almond is a type of nut.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,,5
Officials are giving Social Security numbers to immigrants at the US border,public.us-east-1.A2Q99XBBVXFPG7,6,6,6,RACE: African American; RACE: East or South Asian; RACE: Hispanic,5
“U.S. biolabs in Ukraine” could be involved in “possible biological warfare”,public.us-east-1.A1SCF3L6LTFQHF,6,6,3,GENDER: Men; GENDER: Transgender / Non-binary; GENDER: Women; RACE: African American; RACE: Hispanic; RACE: White; SEXUAL ORIENTATION: Heterosexual; SEXUAL ORIENTATION: LGBTQ,3
“U.S. biolabs in Ukraine” could be involved in “possible biological warfare”,public.us-east-1.A28LVKN22K756,6,5,5,GENDER: Women,2
California is sending money to all LGBTQ residents.,public.us-east-1.A28LVKN22K756,6,6,5,GENDER: Women,2
Jacksonville church making members sign statement opposing LGBTQ+ freedoms,public.us-east-1.A28LVKN22K756,6,5,5,GENDER: Women,2
Jacksonville church making members sign statement opposing LGBTQ+ freedoms,public.us-east-1.A2Q99XBBVXFPG7,4,3,6,SEXUAL ORIENTATION: LGBTQ,5
CDC admits 'debilitating illnesses' are 'related to' COVID-19 vaccines,public.us-east-1.A2Q99XBBVXFPG7,6,6,1,NONE,4
A circle is round.,public.us-east-1.A28LVKN22K756,6,5,6,GENDER: Women,1
A circle is round.,public.us-east-1.A2Q99XBBVXFPG7,1,1,1,NONE,1
An almond is a type of nut.,public.us-east-1.A28LVKN22K756,6,6,5,GENDER: Women,2
An almond is a type of nut.,public.us-east-1.A2Q99XBBVXFPG7,1,1,1,NONE,1
Beef comes from cows.,public.us-east-1.A28LVKN22K756,6,5,5,GENDER: Women,1
A bicycle has two wheels.,public.us-east-1.A2Q99XBBVXFPG7,5,6,4,NONE,1
A bicycle has two wheels.,public.us-east-1.A28LVKN22K756,6,6,2,GENDER: Women,2
"Moderna CEO Stéphane Bancel Admits Company Produced 100,000 COVID-19 Doses in 2019 Before The Pandemic Started.",public.us-east-1.A1SCF3L6LTFQHF,4,4,1,NONE,6
Progesterone can be used for abortion reversal after taking mifepristone,public.us-east-1.A1SCF3L6LTFQHF,5,3,1,NONE,6
Progesterone can be used for abortion reversal after taking mifepristone,public.us-east-1.A2Q99XBBVXFPG7,5,5,5,GENDER: Women,2
A Texas farmer was “arrested for using illegal immigrants for free labor by pretending to be Joe Biden.”,public.us-east-1.A1SCF3L6LTFQHF,5,6,2,NONE,5
A Texas farmer was “arrested for using illegal immigrants for free labor by pretending to be Joe Biden.”,public.us-east-1.A2Q99XBBVXFPG7,6,6,5,RACE: African American; RACE: East or South Asian; RACE: Hispanic,4
A Texas farmer was “arrested for using illegal immigrants for free labor by pretending to be Joe Biden.”,public.us-east-1.A28LVKN22K756,6,5,6,GENDER: Women,2
Ice melts when heated.,public.us-east-1.A28LVKN22K756,6,5,5,GENDER: Women,1
People require oxygen to survive.,public.us-east-1.A1SCF3L6LTFQHF,6,1,1,NONE,1
People require oxygen to survive.,public.us-east-1.A1PZNXUXSW2MH0,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",public.us-east-1.A1SCF3L6LTFQHF,6,3,1,NONE,6
The Great Wall of China was built entirely by one person,public.us-east-1.A2Q99XBBVXFPG7,5,5,4,NONE,5
The Great Wall of China was built entirely by one person,public.us-east-1.A28LVKN22K756,6,6,5,GENDER: Women,2
New Zealand Does Allow Abortions 'On Demand For Any Reason Up To Birth',public.us-east-1.A28LVKN22K756,6,6,6,GENDER: Women,2
Illegal immigrants receive welfare benefits.,public.us-east-1.A28LVKN22K756,5,5,6,GENDER: Women,2
Illegal immigrants receive welfare benefits.,public.us-east-1.A2Q99XBBVXFPG7,6,6,5,RACE: African American; RACE: East or South Asian; RACE: Hispanic,3
US Congresswoman Katie Porter said pedophilia is a sexual identity,public.us-east-1.A28LVKN22K756,6,5,5,GENDER: Women,2
US Congresswoman Katie Porter said pedophilia is a sexual identity,public.us-east-1.A2Q99XBBVXFPG7,6,4,5,GENDER: Men,5
Abortions can be induced using pills.,public.us-east-1.A28LVKN22K756,6,5,5,GENDER: Women,1
Abortions can be induced using pills.,public.us-east-1.A2WSWG9IQ0ZOC8,1,1,5,GENDER: Women,1
The world's tallest tree forms a bridge from Earth to Mars.,public.us-east-1.A1SCF3L6LTFQHF,6,6,1,NONE,6
All diseases can be spread through radio waves.,public.us-east-1.A2Q99XBBVXFPG7,5,4,1,NONE,6
"The LGBTQ-focused dating app Grindr threatened to ""reveal every Republican legislator and party official who secretly uses"" it, if ""Florida doesn't stop passing homophobic and transphobic laws.""",public.us-east-1.A28LVKN22K756,6,5,5,GENDER: Women,2
Abortions can save the life of a pregnant woman in certain medical emergencies.,public.us-east-1.A28LVKN22K756,6,6,6,GENDER: Women,2
Chiefs’ Super Bowl win threatened because Mahomes failed drug test,public.us-east-1.A28LVKN22K756,6,6,5,GENDER: Women,2
"Chicago, IL had just over 9000 murders in 2022, the most of any city in America.",public.us-east-1.A1SCF3L6LTFQHF,6,6,1,NONE,6
"Chicago, IL had just over 9000 murders in 2022, the most of any city in America.",public.us-east-1.A2Q99XBBVXFPG7,5,6,1,NONE,5
"""The Tonight Show"" has been hosted by six different hosts over its nearly 70-year history.",public.us-east-1.A2Q99XBBVXFPG7,5,6,5,NONE,3
"In Amarillo, TX, temperatures frequently fluctuate by more than 50 degrees Fahrenheit in a single day.",public.us-east-1.A1SCF3L6LTFQHF,5,5,1,NONE,2
"“More contraception availability increases abortion demand.""",public.us-east-1.A28LVKN22K756,6,5,5,GENDER: Women,2
"""Under President Trump, the federal government achieved historically low levels of illegal immigration.""",public.us-east-1.A1SCF3L6LTFQHF,4,5,1,NONE,4
"The Ebola virus was created by Simon Cowell, the host and creator of America’s Got Talent.",public.us-east-1.A1SCF3L6LTFQHF,5,4,1,NONE,6
"The Ebola virus was created by Simon Cowell, the host and creator of America’s Got Talent.",public.us-east-1.A28LVKN22K756,6,5,5,GENDER: Women,2
"U.S. President Joe Biden did not recognize British Prime Minister Rishi Sunak when they met in Belfast on April 11, 2023.",public.us-east-1.A1SCF3L6LTFQHF,4,3,1,NONE,6
"U.S. President Joe Biden did not recognize British Prime Minister Rishi Sunak when they met in Belfast on April 11, 2023.",public.us-east-1.A2Q99XBBVXFPG7,6,4,5,NONE,6
"U.S. President Joe Biden did not recognize British Prime Minister Rishi Sunak when they met in Belfast on April 11, 2023.",public.us-east-1.A28LVKN22K756,6,5,6,GENDER: Women,2
The moon orbits around the Earth.,public.us-east-1.A2Q99XBBVXFPG7,6,6,6,NONE,1
"In the US, over 90% of abortions occur in the first trimester of pregnancy (at or before 16 weeks of gestation)",public.us-east-1.A1SCF3L6LTFQHF,4,5,1,NONE,2
Scientists have discovered a new planet that is entirely made of chocolate.,public.us-east-1.A28LVKN22K756,5,5,5,GENDER: Women,2
Apples are a type of fruit.,public.us-east-1.A2Q99XBBVXFPG7,5,5,4,NONE,1
Apples are a type of fruit.,public.us-east-1.A28LVKN22K756,6,6,4,GENDER: Women,2
"The US Navy has sent two warships to Thitu Island, also known as Pag-asa Island, to deter Chinese military presence near the area.",public.us-east-1.A2Q99XBBVXFPG7,5,4,5,NONE,2
An hour contains 60 minutes.,public.us-east-1.A1SCF3L6LTFQHF,6,1,1,NONE,1
An hour contains 60 minutes.,public.us-east-1.A28LVKN22K756,6,5,6,GENDER: Women,2
Obama changed Black Music Month to Pride Month,public.us-east-1.A1SCF3L6LTFQHF,5,2,1,NONE,6
Obama changed Black Music Month to Pride Month,public.us-east-1.A28LVKN22K756,6,6,6,GENDER: Women,2
Diamonds are very expensive.,public.us-east-1.A2WSWG9IQ0ZOC8,1,6,1,NONE,1
A day contains 24 hours.,public.us-east-1.A28LVKN22K756,6,6,5,GENDER: Women,1
Wizards have illegally manipulated the weather to cause devastating storms.,public.us-east-1.A28LVKN22K756,6,6,5,GENDER: Women,2
"The word ""cakewalk"" comes from dances performed by Black American slaves on Southern plantations to mock their white slave owners.",public.us-east-1.A2Q99XBBVXFPG7,5,4,6,RACE: African American; RACE: White,6
44 Percent of Black People Do Have HIV,public.us-east-1.A2Q99XBBVXFPG7,6,6,6,RACE: African American,6
"If you wear a hat made out of aluminum foil, you can communicate telepathically with dolphins.",public.us-east-1.A2Q99XBBVXFPG7,4,3,1,NONE,5
"Two academic studies found police officers are as or less likely to shoot Black suspects, showing, “There is no systemic racism in policing. It doesn’t exist.”",public.us-east-1.A2Q99XBBVXFPG7,6,5,6,RACE: White,5
"Two academic studies found police officers are as or less likely to shoot Black suspects, showing, “There is no systemic racism in policing. It doesn’t exist.”",public.us-east-1.A28LVKN22K756,6,6,6,GENDER: Women,2
The fastest ever recorded serve in professional tennis was recorded at a speed of 230 miles per hour.,public.us-east-1.A28LVKN22K756,6,6,2,GENDER: Women,2
"Professional athletes in the NFL, NBA, and MLB are taxed at a higher rate than athletes in other countries due to the United States' progressive tax system.",public.us-east-1.A1SCF3L6LTFQHF,4,3,1,NONE,6
"Professional athletes in the NFL, NBA, and MLB are taxed at a higher rate than athletes in other countries due to the United States' progressive tax system.",public.us-east-1.A2Q99XBBVXFPG7,6,5,4,NONE,2
"Professional athletes in the NFL, NBA, and MLB are taxed at a higher rate than athletes in other countries due to the United States' progressive tax system.",public.us-east-1.A28LVKN22K756,6,5,5,GENDER: Women,2
Abortion causes breast cancer.,public.us-east-1.A1SCF3L6LTFQHF,6,4,1,NONE,2
